Title,Details,Category,Rating,Votes,Director
Wuthering Heights,2011Not Rated2h 9m,Drama,6.0,11K,Andrea Arnold
Cold Skin,2017TV-141h 48m,Action,6.0,18K,Xavier Gens
Patruliai,2017R1h 40m,Action,6.0,50K,Dax Shepard
Alamas,2004PG-132h 17m,Drama,6.0,22K,John Lee Hancock
Džiungliu knyga,1994PG1h 51m,Adventure,6.0,19K,Stephen Sommers
Tinklas,1995PG-131h 54m,Action,6.0,73K,Irwin Winkler
Body Snatchers,1993R1h 27m,Horror,6.0,21K,Abel Ferrara
Jason Lives: Friday the 13th Part VI,1986R1h 26m,Horror,6.0,50K,Tom McLoughlin
Robotu žeme,2014R1h 49m,Action,6.0,59K,Gabe Ibáñez
Kempiniukas Placiakelnis,2015PG1h 32m,Animation,6.0,60K,Paul Tibbitt
Mil gritos tiene la noche,1982Not Rated1h 25m,Horror,6.0,12K,Juan Piquer Simón
Teisingi sprendimai,1983R1h 31m,Drama,6.0,20K,Michael Chapman
Camp Nowhere,1994PG1h 36m,Adventure,6.0,11K,Jonathan Prince
The Escort,2015Not Rated1h 28m,Comedy,6.0,14K,Will Slocombe
13,2010R1h 31m,Crime,6.0,43K,Géla Babluani
Teise žudyti,2008R1h 41m,Crime,6.0,91K,Jon Avnet
Tequila Sunrise,1988R1h 55m,Crime,6.0,33K,Robert Towne
Lemiamos sekundes,1992R1h 30m,Action,6.0,16K,Tony Maylam
Neteisingai apkaltintas,1998PG-131h 27m,Action,6.0,29K,Pat Proft
Zero teorema,2013N-131h 47m,Comedy,6.0,49K,Terry Gilliam
Ledo princese,2005G1h 38m,Comedy,6.0,29K,Tim Fywell
Indėnas spintelėje,1995V1h 36m,Drama,6.0,31K,Frank Oz
Mirties troškimas 2,1982R1h 29m,Action,6.0,18K,Michael Winner
Paskutinė daina,2010PG1h 48m,Drama,6.0,92K,Julie Anne Robinson
Bird on a Wire,1990PG-131h 50m,Action,6.0,47K,John Badham
Mano meilės objektas,1998R1h 51m,Comedy,6.0,21K,Nicholas Hytner
Unfriended: Dark Web,2018R1h 32m,Horror,6.0,37K,Stephen Susco
Už borto,2018PG-131h 52m,Comedy,6.0,41K,Rob Greenberg
The Woman,2011R1h 41m,Drama,6.0,26K,Lucky McKee
Boxcar Bertha,1972R1h 28m,Crime,6.0,11K,Martin Scorsese
Z for Zachariah,2015PG-131h 38m,Drama,6.0,32K,Craig Zobel
Suaugusiuju zaidimai,2017R1h 30m,Comedy,6.0,10K,Max Winkler
Waiting to Exhale,1995R2h 4m,Comedy,6.0,12K,Forest Whitaker
Pono Poperio pingvinai,2011PG1h 34m,Comedy,6.0,104K,Mark Waters
Backcountry,2014R1h 32m,Adventure,6.0,23K,Adam MacDonald
Suaugusiuju prieziura,2012PG1h 45m,Comedy,6.0,27K,Andy Fickman
Niko,1988R1h 39m,Action,6.0,34K,Andrew Davis
Padeganti žvilgsniu,1984R1h 54m,Action,6.0,36K,Mark L. Lester
Vaizdajuostė 2,2013R1h 36m,Horror,6.0,43K,Simon Barrett
Assassination Nation,2018R1h 48m,Action,6.0,21K,Sam Levinson
Mano pussesere Reičel,2017PG-131h 46m,Drama,6.0,21K,Roger Michell
Censor,20211h 24m,Horror,6.0,19K,Prano Bailey-Bond
Sesutes,2015N-161h 58m,Comedy,6.0,69K,Jason Moore
Pasaulio prekybos centras,2006PG-132h 9m,Drama,6.0,87K,Oliver Stone
Karo mašina,2017TV-MA2h 2m,Comedy,6.0,49K,David Michôd
Maniac Cop,1988R1h 25m,Action,6.0,20K,William Lustig
Mirti jaunam,1991R1h 51m,Drama,6.0,17K,Joel Schumacher
Varisu,2023Not Rated2h 49m,Action,6.0,37K,Vamshi Paidipally
Džobsas,2013N-132h 8m,Biography,6.0,102K,Joshua Michael Stern
Arturas ir Minimukai,2006PG1h 34m,Animation,6.0,40K,Luc Besson
Happy Birthday to Me,1981R1h 51m,Horror,6.0,11K,J. Lee Thompson
The Gate,1987PG-131h 25m,Fantasy,6.0,19K,Tibor Takács
Pasmerktieji,2007R1h 54m,Action,6.0,54K,Scott Wiper
My Son,2021R1h 35m,Crime,6.0,14K,Christian Carion
La nuit a dévoré le monde,2018TV-141h 33m,Drama,6.0,15K,Dominique Rocher
We're Back! A Dinosaur's Story,1993G1h 12m,Animation,6.0,16K,Phil Nibbelink
Klausk manęs bet ko,2014Not Rated1h 40m,Drama,6.0,13K,Allison Burnett
Cheech and Chong's Next Movie,1980R1h 39m,Comedy,6.0,15K,Tommy Chong
Siaubo kaleidoskopas 2,1987R1h 32m,Fantasy,6.0,28K,Michael Gornick
Mašina,2013R1h 31m,Action,6.0,32K,Caradog W. James
Žynys,1992PG-131h 46m,Adventure,6.0,24K,John McTiernan
Tragedy Girls,2017R1h 38m,Comedy,6.0,11K,Tyler MacIntyre
Ji vienintelė,1996R1h 36m,Comedy,6.0,18K,Edward Burns
Nimes sala,2008PG1h 36m,Adventure,6.0,37K,Jennifer Flackett
The Good Neighbor,2022R1h 46m,Thriller,6.0,11K,Stephan Rick
Nešėjai,2009PG-131h 25m,Action,6.0,49K,David Pastor
Nematomo žmogaus išpažintis,1992PG-131h 39m,Comedy,6.0,27K,John Carpenter
MS1: Kalejimo griutis,2012N-131h 35m,Action,6.0,100K,James Mather
K-9,1989PG-131h 41m,Action,6.0,35K,Rod Daniel
Equals,2015PG-131h 41m,Drama,6.0,32K,Drake Doremus
Relic,2020R1h 29m,Drama,6.0,29K,Natalie Erika James
3000 mylių iki Greislendo,2001R2h 5m,Action,6.0,48K,Demian Lichtenstein
Mirtinas suvis,2008R1h 35m,Action,6.0,22K,John Madden
Netikėta sėkmė,1998R1h 31m,Action,6.0,31K,Kirk Wong
Odinės galvos,2008PG-131h 54m,Comedy,6.0,33K,George Clooney
Seberg,2019R1h 42m,Biography,6.0,10K,Benedict Andrews
Rock-A-Doodle,1991G1h 14m,Animation,6.0,10K,Don Bluth
Mama i skola,2008PG-131h 39m,Comedy,6.0,47K,Michael McCullers
Motel Hell,1980R1h 41m,Comedy,6.0,13K,Kevin Connor
Klastingi namai,2011PG-131h 32m,Drama,6.0,69K,Jim Sheridan
Šauniausi policininkai 2,2018R1h 40m,Comedy,6.0,28K,Jay Chandrasekhar
Vagių pasaulis,2009R1h 44m,Action,6.0,36K,Mimi Leder
Come to Daddy,2019R1h 36m,Comedy,6.0,20K,Ant Timpson
Lozoriaus projektas,2008PG-131h 40m,Drama,6.0,19K,John Glenn
Mazule Dzeksi,2019N-161h 24m,Comedy,6.0,31K,Jon Lucas
Gundanti klasta,2008R1h 47m,Crime,6.0,41K,Marcel Langenegger
Teta Helena,2004PG-131h 59m,Comedy,6.0,38K,Garry Marshall
Musu meiles istorija,1999R1h 35m,Comedy,6.0,25K,Rob Reiner
Egzorcizmas,2011N-161h 54m,Drama,6.0,102K,Mikael Håfström
Margo vestuvese,2007R1h 33m,Comedy,6.0,22K,Noah Baumbach
Tokia kaip ir tu,2001PG-131h 37m,Comedy,6.0,27K,Tony Goldwyn
Uzsienietis,2012R1h 40m,Action,6.0,32K,Philipp Stölzl
Gyvenimo vingis,1999R2h 4m,Comedy,6.0,30K,Mike Newell
Starry Eyes,2014Not Rated1h 38m,Horror,6.0,22K,Kevin Kölsch
About Last Night,2014R1h 40m,Comedy,6.0,25K,Steve Pink
Smurfai: Pamirštas kaimelis,2017PG1h 30m,Animation,6.0,24K,Kelly Asbury
Wildcats,1986R1h 46m,Comedy,6.0,14K,Michael Ritchie
Taikdarys,1997R2h 4m,Action,6.0,61K,Mimi Leder
Vis tiek nebusiu tavo,2007PG-131h 37m,Comedy,6.0,19K,Amy Heckerling
Senseless,1998R1h 33m,Comedy,6.0,18K,Penelope Spheeris
Come True,2020Unrated1h 45m,Horror,6.0,11K,Anthony Scott Burns
Asteriksas ir Obeliksas pries Cezari,1999Not Rated1h 49m,Adventure,6.0,45K,Claude Zidi
Brainscan,1994R1h 36m,Horror,6.0,13K,John Flynn
Planeta 51,2009PG1h 31m,Animation,6.0,58K,Jorge Blanco
Naktys Rodanteje,2008PG-131h 37m,Drama,6.0,26K,George C. Wolfe
To All the Boys: P.S. I Still Love You,2020TV-141h 41m,Comedy,6.0,45K,Michael Fimognari
Lord of Illusions,1995R1h 49m,Horror,6.0,19K,Clive Barker
Tai Či meistras,2013R1h 45m,Action,6.0,41K,Keanu Reeves
The Night Flier,1997R1h 37m,Fantasy,6.0,12K,Mark Pavia
Operacija: Zodiakas,2012PG-132h 2m,Action,6.0,24K,Jackie Chan
Arkansas,2020R1h 57m,Action,6.0,14K,Clark Duke
How to Be a Latin Lover,2017PG-131h 55m,Comedy,6.0,17K,Ken Marino
Churchill,2017PG1h 45m,Biography,6.0,16K,Jonathan Teplitzky
Earthquake Bird,2019R1h 47m,Crime,6.0,16K,Wash Westmoreland
Turnyras,2009R1h 35m,Action,6.0,36K,Scott Mann
Man Down,2015R1h 30m,Drama,6.0,11K,Dito Montiel
Tamsioji pusė,1993R2h 2m,Horror,6.0,19K,George A. Romero
Atpildas,2003R1h 49m,Action,6.0,49K,F. Gary Gray
The Secret of Moonacre,2008PG1h 43m,Adventure,6.0,11K,Gabor Csupo
Roko karaliene,2015PG-131h 41m,Comedy,6.0,25K,Jonathan Demme
6 Bullets,2012R1h 55m,Action,6.0,16K,Ernie Barbarash
"For a Good Time, Call...",2012R1h 25m,Comedy,6.0,17K,Jamie Travis
The Signal,2007R1h 43m,Horror,6.0,22K,David Bruckner
The Den,2013R1h 16m,Horror,6.0,15K,Zachary Donohue
Nuotaka iš Rusijos,2001R1h 33m,Comedy,6.0,26K,Jez Butterworth
Legal Eagles,1986PG1h 56m,Comedy,6.0,12K,Ivan Reitman
Bordertown,2007R1h 52m,Crime,6.0,11K,Gregory Nava
Geris,2002R1h 43m,Adventure,6.0,20K,Gus Van Sant
Kick,2014Not Rated2h 26m,Action,6.0,72K,Sajid Nadiadwala
Negyvelis studentu miestelyje,1998R1h 36m,Comedy,6.0,16K,Alan Cohn
The Caller,2011R1h 32m,Horror,6.0,12K,Matthew Parkhill
The Chamber,1996R1h 53m,Crime,6.0,16K,James Foley
Violeta ir Deizi,2011R1h 28m,Action,6.0,13K,Geoffrey Fletcher
Ladies vs. Ricky Bahl,2011Not Rated2h 20m,Comedy,6.0,10K,Maneesh Sharma
Doghouse,2009Not Rated1h 29m,Comedy,6.0,23K,Jake West
The Polka King,2017TV-141h 35m,Biography,6.0,12K,Maya Forbes
Right at Your Door,2006R1h 36m,Drama,6.0,14K,Chris Gorak
Gerasis vokietis,2006R1h 45m,Drama,6.0,26K,Steven Soderbergh
Kraujas ir vynas,1996R1h 41m,Crime,6.0,11K,Bob Rafelson
Iš pirmo žvilgsnio,1999PG-132h 8m,Drama,6.0,14K,Irwin Winkler
The Maiden Heist,2009PG-131h 30m,Comedy,6.0,17K,Peter Hewitt
Niekada nesakyk 'Sudie',2006Not Rated3h 13m,Drama,6.0,21K,Karan Johar
Phantasm III: Lord of the Dead,1994R1h 31m,Action,6.0,10K,Don Coscarelli
Mr. Baseball,1992PG-131h 48m,Comedy,6.0,12K,Fred Schepisi
Frágiles,2005PG-131h 41m,Horror,6.0,17K,Jaume Balagueró
Nuostabioji,1999PG-132h 1m,Action,6.0,14K,Vincent Kok
Bailout: The Age of Greed,2013R1h 39m,Action,6.0,22K,Uwe Boll
Beatriz at Dinner,2017R1h 22m,Comedy,6.0,11K,Miguel Arteta
Franklynas,2008R1h 38m,Drama,6.0,18K,Gerald McMorrow
2.0,2018Not Rated2h 28m,Action,6.0,26K,S. Shankar
Humpty Sharma Ki Dulhania,2014Not Rated2h 13m,Comedy,6.0,14K,Shashank Khaitan
Organize Isler: Sazan Sarmali,20192h 1m,Comedy,6.0,16K,Yilmaz Erdogan
Blind Dating,2006PG-131h 39m,Comedy,6.0,13K,James Keach
Parallels,2015Not Rated1h 23m,Action,6.0,15K,Christopher Leone
Anatomie,2000R1h 43m,Horror,6.0,14K,Stefan Ruzowitzky
Half Light,2006R1h 50m,Drama,6.0,14K,Craig Rosenberg
Heyy Babyy,2007Not Rated2h 24m,Comedy,6.0,16K,Sajid Khan
Casshern,2004Not Rated2h 22m,Action,6.0,14K,Kazuaki Kiriya
Jayeshbhai Jordaar,20222h 1m,Comedy,6.0,44K,Divyang Thakkar
2 dienos Niujorke,2012N-131h 36m,Comedy,6.0,15K,Julie Delpy
Hak hap,1996R1h 39m,Action,6.0,12K,Daniel Lee
I Sell the Dead,2008Not Rated1h 25m,Comedy,6.0,11K,Glenn McQuaid
Kites,2010Not Rated2h 3m,Action,6.0,14K,Anurag Basu
Astérix et les Vikings,2006Not Rated1h 18m,Animation,6.0,13K,Stefan Fjeldmark
The I Inside,2004R1h 30m,Mystery,6.0,11K,Roland Suso Richter
Azizler,2021TV-MA1h 36m,Comedy,6.0,11K,Durul Taylan
Mine 9,2019Not Rated1h 23m,Drama,6.0,12K,Eddie Mensore
Interreflections,20202h 45m,Fantasy,6.0,10K,Peter Joseph
Super High Me,2007R1h 34m,Documentary,6.0,13K,Michael Blieden
Unbreakable Souls,20151h 25m,Drama,6.0,36K,Enzo Zelocchi
MSG: The Messenger of God,20153h 17m,Action,6.0,11K,Jeetu Arora
Kapitonė Marvel 2,2023PG-131h 45m,Action,5.9,62K,Nia DaCosta
Savižudžių burys,2016N-132h 3m,Action,5.9,713K,David Ayer
Firmos kalėdinis balius,2016N-161h 45m,Comedy,5.9,86K,Josh Gordon
Viskas apie ją,1999PG-131h 35m,Comedy,5.9,102K,Robert Iscove
Pathaan,2023Not Rated2h 26m,Action,5.9,150K,Siddharth Anand
Kokaino lokys,2023R1h 35m,Comedy,5.9,100K,Elizabeth Banks
Fatman,2020R1h 40m,Action,5.9,29K,Eshom Nelms
Persis Džeksonas ir Olimpo dievai: žaibo vagis,2010PG1h 58m,Adventure,5.9,198K,Chris Columbus
Pamilti dar kartą,2023PG-131h 44m,Comedy,5.9,11K,Jim Strouse
Baubas,2023PG-131h 38m,Horror,5.9,39K,Rob Savage
Greiti ir Isiute 2,2003PG-131h 47m,Action,5.9,292K,John Singleton
Po vandeniu,2020PG-131h 35m,Action,5.9,92K,William Eubank
Kokteilis,1988R1h 44m,Comedy,5.9,90K,Roger Donaldson
Nakvynes namai,2005N-161h 34m,Horror,5.9,189K,Eli Roth
Kvaišų šeimynėlės atostogos Las Vegase,1997PG1h 33m,Comedy,5.9,52K,Stephen Kessler
The Kissing Booth,2018TV-141h 45m,Comedy,5.9,91K,Vince Marcello
Venomas 2,2021N-131h 37m,Action,5.9,252K,Andy Serkis
The Wraith,1986PG-131h 33m,Action,5.9,19K,Mike Marvin
Devynios su puse savaitės,1986R1h 57m,Drama,5.9,43K,Adrian Lyne
Grobuoniu veisle,1995R1h 48m,Action,5.9,84K,Roger Donaldson
The School for Good and Evil,2022PG-132h 27m,Action,5.9,34K,Paul Feig
Hellraiser,2022R2h 1m,Horror,5.9,47K,David Bruckner
Gilyn i mišką,2014N-72h 5m,Adventure,5.9,147K,Rob Marshall
Londono apgultis,2016N-131h 39m,Action,5.9,167K,Babak Najafi
Galingieji reindzeriai,2017PG-132h 4m,Action,5.9,113K,Dean Israelite
Trapped in Paradise,1994PG-131h 51m,Adventure,5.9,16K,George Gallo
Roko amžius,2012N-132h 3m,Comedy,5.9,81K,Adam Shankman
Vivarium,2019R1h 37m,Horror,5.9,71K,Lorcan Finnegan
Bitininkas,2021N-161h 31m,Horror,5.9,74K,Nia DaCosta
Už įstatymo ribų,2001PG-131h 34m,Action,5.9,17K,Les Mayfield
Urmu pigiau,2003PG1h 38m,Comedy,5.9,107K,Shawn Levy
"Šešios dienos, septynios naktys",1998PG-131h 42m,Action,5.9,82K,Ivan Reitman
Pelenės istorija,2004V1h 35m,Comedy,5.9,93K,Mark Rosman
Pašelęs senelis,2016N-161h 42m,Comedy,5.9,131K,Dan Mazer
Džordžijos taisykles,2007R1h 53m,Comedy,5.9,26K,Garry Marshall
Savaitė be žmonų,2011R1h 45m,Comedy,5.9,130K,Bobby Farrelly
King Kongas,1976PG2h 14m,Adventure,5.9,35K,John Guillermin
Juros periodo parkas III,2001PG-131h 32m,Action,5.9,337K,Joe Johnston
Gili žydra jura,1999R1h 45m,Action,5.9,141K,Renny Harlin
P2,2007R1h 38m,Crime,5.9,36K,Franck Khalfoun
Didžioji siena,2016N-131h 43m,Action,5.9,144K,Yimou Zhang
Nauja praeitis,2021PG-131h 56m,Mystery,5.9,64K,Lisa Joy
Medieval,2022R2h 5m,Action,5.9,12K,Petr Jákl
Nakties medžiotojas,2018R1h 38m,Action,5.9,26K,David Raymond
Galutinis tikslas 5 3D,2011N-161h 32m,Horror,5.9,123K,Steven Quale
Broliai Grimai,2005PG-131h 58m,Action,5.9,125K,Terry Gilliam
Načas Libras,2006PG1h 32m,Comedy,5.9,93K,Jared Hess
Paskutinis raganu medžiotojas,2015N-131h 46m,Action,5.9,108K,Breck Eisner
Griuvesiai,2008R1h 30m,Adventure,5.9,82K,Carter Smith
Vežliukai nindzes: šešeliu ikaitai,2016N-131h 52m,Action,5.9,98K,Dave Green
Pasmerktuju diena,2008N-181h 53m,Action,5.9,79K,Neil Marshall
Amitvilio kosmaras,2005R1h 30m,Horror,5.9,116K,Andrew Douglas
Tiger Zinda Hai,2017Not Rated2h 41m,Action,5.9,33K,Ali Abbas Zafar
Juokdarių vakarienė,2010PG-131h 54m,Comedy,5.9,110K,Jay Roach
Pjūklas 4,2007N-161h 33m,Horror,5.9,162K,Darren Lynn Bousman
Laiko policininkas,1994R1h 39m,Action,5.9,63K,Peter Hyams
Bilas ir Tedas gelbėja visatą,2020PG-131h 31m,Adventure,5.9,52K,Dean Parisot
Skolininkai,1997PG1h 29m,Adventure,5.9,23K,Peter Hewitt
Pavojai gelmese,2005PG-131h 50m,Action,5.9,79K,John Stockwell
Ponas kūdikis 2: Šeimos reikalai,2021PG1h 47m,Animation,5.9,21K,Tom McGrath
Conan the Destroyer,1984PG1h 43m,Action,5.9,84K,Richard Fleischer
Till Death,2021R1h 28m,Thriller,5.9,25K,S.K. Dale
Orphan: First Kill,2022R1h 39m,Crime,5.9,44K,William Brent Bell
Ketvirtasis lygmuo,2009PG-131h 38m,Horror,5.9,81K,Olatunde Osunsanmi
Bholaa,2023Not Rated2h 24m,Action,5.9,22K,Ajay Devgn
Pagieza,2004N-161h 31m,Horror,5.9,150K,Takashi Shimizu
O dabar jus skelbiu Čeku ir Lariu,2007V1h 55m,Comedy,5.9,153K,Dennis Dugan
The Last House on the Left,1972R1h 24m,Crime,5.9,40K,Wes Craven
Nepasotinamas alkis,2021R1h 39m,Drama,5.9,43K,Scott Cooper
Anabele 3,2019N-161h 46m,Horror,5.9,85K,Gary Dauberman
Po. Gyvenimo,2009R1h 44m,Drama,5.9,41K,Agnieszka Wojtowicz-Vosloo
Bruno,2009N-161h 21m,Comedy,5.9,153K,Larry Charles
Vertikali riba,2000PG-132h 4m,Action,5.9,65K,Martin Campbell
Abraomas Linkolnas. Vampyrų medžiotojas,2012N-131h 45m,Action,5.9,160K,Timur Bekmambetov
Baudėjas: Karo zona,2008R1h 43m,Action,5.9,66K,Lexi Alexander
Liu lang di qiu,201913+2h 5m,Action,5.9,35K,Frant Gwo
Domino,2005R2h 7m,Action,5.9,69K,Tony Scott
Son in Law,1993PG-131h 35m,Comedy,5.9,22K,Steve Rash
Kas čia kalba?,1989PG-131h 33m,Comedy,5.9,86K,Amy Heckerling
Against All Odds,1984R2h 8m,Action,5.9,13K,Taylor Hackford
Drop Dead Fred,1991V1h 43m,Comedy,5.9,31K,Ate de Jong
Vienveidis,2001PG-131h 27m,Action,5.9,95K,James Wong
Demonas viduje,2012N-131h 32m,Horror,5.9,63K,Ole Bornedal
Dičkis šuo Klifordas,2021PG1h 36m,Adventure,5.9,16K,Walt Becker
Belaisvė,2014R1h 52m,Crime,5.9,35K,Atom Egoyan
The Black Hole,1979PG1h 38m,Action,5.9,27K,Gary Nelson
Why Did I Get Married?,2007PG-131h 53m,Comedy,5.9,14K,Tyler Perry
Invazija,2007PG-131h 39m,Sci-Fi,5.9,82K,Oliver Hirschbiegel
The Woman in Red,1984PG-131h 27m,Comedy,5.9,17K,Gene Wilder
Barbershop: The Next Cut,2016PG-131h 51m,Comedy,5.9,16K,Malcolm D. Lee
Father of the Bride,2022PG-131h 57m,Comedy,5.9,13K,Gary Alazraki
Barbarų belaukiant,20191h 52m,Drama,5.9,14K,Ciro Guerra
Sirenos,1994R1h 38m,Comedy,5.9,11K,John Duigan
Nuojauta,2007PG-131h 36m,Drama,5.9,81K,Mennan Yapo
Sestoji diena,2000PG-132h 3m,Action,5.9,127K,Roger Spottiswoode
Aplink pasauli per 80 dienu,2004PG2h,Action,5.9,94K,Frank Coraci
Gnomeo ir Džiuljeta,2011G1h 24m,Animation,5.9,59K,Kelly Asbury
Kas tas Haris Krambas?,1989PG-131h 34m,Comedy,5.9,17K,Paul Flaherty
It Takes Two,1995PG1h 41m,Comedy,5.9,24K,Andy Tennant
Piranha,1978R1h 34m,Comedy,5.9,24K,Joe Dante
The Children,2008R1h 24m,Horror,5.9,19K,Tom Shankland
Resurrection,2022R1h 43m,Crime,5.9,11K,Andrew Semans
Nuostabusis Bertas Vonderstounas,2013PG-131h 40m,Comedy,5.9,75K,Don Scardino
Kaifuojantis Džekas Flešas,1986R1h 45m,Comedy,5.9,21K,Penny Marshall
Lombardo kronikos,2013R1h 52m,Action,5.9,12K,Wayne Kramer
The Void,2016Not Rated1h 30m,Horror,5.9,41K,Jeremy Gillespie
Vaiko zaidimas 2,1990R1h 24m,Horror,5.9,57K,John Lafia
Gelezinis dangus,2012N-131h 33m,Action,5.9,96K,Timo Vuorensola
Pagrobimas,2017R1h 35m,Action,5.9,39K,Luis Prieto
Pažymetas mirtimi,1990R1h 33m,Action,5.9,24K,Dwight H. Little
Garbanė Sju,1991PG1h 41m,Comedy,5.9,23K,John Hughes
Viktoras Frankenšteinas,2015PG-131h 50m,Drama,5.9,59K,Paul McGuigan
Uosvio tvirtove,2005PG-131h 45m,Comedy,5.9,45K,Kevin Rodney Sullivan
Drumline,2002PG-131h 58m,Comedy,5.9,36K,Charles Stone III
The Prom,2020PG-132h 10m,Comedy,5.9,29K,Ryan Murphy
12 vilties valandu,2012PG-131h 34m,Action,5.9,46K,Heitor Dhalia
Dzo Breivenas,2018R1h 34m,Action,5.9,42K,Lin Oeding
Legenda apie Zoro,2005N-72h 9m,Action,5.9,106K,Martin Campbell
Džo prieš ugnikalnį,1990PG1h 42m,Comedy,5.9,39K,John Patrick Shanley
Mirtinas žaidimas,1978R1h 40m,Action,5.9,22K,Robert Clouse
Raudonosios uodegos,2012PG-132h 5m,Action,5.9,37K,Anthony Hemingway
Traffik,2018R1h 36m,Action,5.9,21K,Deon Taylor
Studija 54,1998R1h 33m,Drama,5.9,34K,Mark Christopher
February,2015R1h 33m,Horror,5.9,25K,Oz Perkins
Dirbantys vyrukai,1990PG-131h 38m,Action,5.9,26K,Emilio Estevez
Encounter,2021R1h 48m,Drama,5.9,11K,Michael Pearce
The Vanishing,2018R1h 47m,Drama,5.9,20K,Kristoffer Nyholm
Sugyventi su Džounsais,2016PG-131h 45m,Action,5.9,66K,Greg Mottola
Dienos šviesa,1996PG-131h 54m,Action,5.9,76K,Rob Cohen
Slepynes,2005R1h 41m,Horror,5.9,88K,John Polson
Zvaigzdziu karai: klonu karai,2008PG1h 38m,Animation,5.9,72K,Dave Filoni
Troop Beverly Hills,1989PG1h 45m,Adventure,5.9,11K,Jeff Kanew
Aistruolis,1996R1h 56m,Action,5.9,51K,Tony Scott
Marija Magdaliete,2018R2h,Biography,5.9,11K,Garth Davis
Girls Just Want to Have Fun,1985PG1h 30m,Comedy,5.9,13K,Alan Metter
All Eyez on Me,2017R2h 19m,Biography,5.9,24K,Benny Boom
Cam,2018TV-MA1h 34m,Drama,5.9,35K,Daniel Goldhaber
Earthquake,1974PG2h 2m,Action,5.9,18K,Mark Robson
Purvini šokiai: Havanos naktys,2004PG-131h 26m,Drama,5.9,29K,Guy Ferland
X failai. Noriu tikėti,2008PG-131h 44m,Crime,5.9,93K,Chris Carter
Dangaus lapinas,1982PG2h 16m,Action,5.9,29K,Clint Eastwood
The Funhouse,1981R1h 36m,Horror,5.9,16K,Tobe Hooper
Runaway,1984PG-131h 39m,Action,5.9,14K,Michael Crichton
Hardware,1990R1h 34m,Sci-Fi,5.9,16K,Richard Stanley
Spree,2020Not Rated1h 33m,Comedy,5.9,16K,Eugene Kotlyarenko
Sventas dumas,1999R1h 55m,Comedy,5.9,16K,Jane Campion
Karantinas,2008N-161h 29m,Horror,5.9,76K,John Erick Dowdle
Kitos 48 valandos,1990R1h 35m,Action,5.9,44K,Walter Hill
Kempiniuko filmas: bėganti kempinė,2020PG1h 31m,Animation,5.9,21K,Tim Hill
Beyond the Black Rainbow,2010R1h 50m,Horror,5.9,17K,Panos Cosmatos
The Stuff,1985R1h 27m,Comedy,5.9,18K,Larry Cohen
Slaptas brolis,2002PG-131h 26m,Action,5.9,36K,Malcolm D. Lee
She's Having a Baby,1988PG-131h 46m,Comedy,5.9,14K,John Hughes
Return of the Living Dead III,19931h 37m,Horror,5.9,16K,Brian Yuzna
Street Trash,1987Unrated1h 31m,Comedy,5.9,11K,J. Michael Muro
Vice Versa,1988PG1h 38m,Comedy,5.9,10K,Brian Gilbert
Argi ne romantiška?,2019PG-131h 29m,Comedy,5.9,73K,Todd Strauss-Schulson
Sokis hip-hopo ritmu. Viskas arba nieko,2014N-71h 52m,Drama,5.9,36K,Trish Sie
Breathless,1983R1h 40m,Action,5.9,10K,Jim McBride
Canadian Bacon,1995PG1h 31m,Action,5.9,18K,Michael Moore
Kapitono Korelio mandolina,2001R2h 11m,Drama,5.9,36K,John Madden
Harriet the Spy,1996PG1h 40m,Comedy,5.9,11K,Bronwen Hughes
Nense Driu,2007PG1h 39m,Comedy,5.9,21K,Andrew Fleming
Fright Night Part 2,1988R1h 44m,Comedy,5.9,14K,Tommy Lee Wallace
Meilės pusiausvyra,2014N-131h 34m,Comedy,5.9,30K,Justin Reardon
Love Hostel,20221h 40m,Action,5.9,11K,Shanker Raman
Grind,2003PG-131h 45m,Adventure,5.9,13K,Casey La Scala
RocketMan,1997PG1h 35m,Comedy,5.9,10K,Stuart Gillard
Southbound,2015R1h 29m,Horror,5.9,21K,Roxanne Benjamin
Kubos voratinklis,2019TV-MA2h 7m,Crime,5.9,12K,Olivier Assayas
Backtrack,2015R1h 30m,Drama,5.9,13K,Michael Petroni
Sutrikusi mafija,2002R1h 36m,Comedy,5.9,89K,Harold Ramis
Džeine turi ginklą,2015R1h 38m,Action,5.9,23K,Gavin O'Connor
Aklas pasimatymas,1987PG-131h 35m,Comedy,5.9,24K,Blake Edwards
88 minutes,2007R1h 48m,Crime,5.9,78K,Jon Avnet
Mad Money,2008PG-131h 44m,Comedy,5.9,23K,Callie Khouri
Sparnai 2: ugnies tramdytojai,2014V1h 23m,Animation,5.9,19K,Bobs Gannaway
Ilgas pasivazinejimas 2,2016PG-131h 42m,Action,5.9,62K,Tim Story
200 cigarečių,1999R1h 41m,Comedy,5.9,16K,Risa Bramon Garcia
Homeward Bound II: Lost in San Francisco,1996G1h 28m,Adventure,5.9,16K,David R. Ellis
Naujokelis,1990R2h,Action,5.9,29K,Clint Eastwood
Nusipelnęs ponas,1992R1h 52m,Comedy,5.9,17K,Jonathan Lynn
Freaks of Nature,2015R1h 32m,Comedy,5.9,13K,Robbie Pickering
Patologija,2008R1h 35m,Crime,5.9,33K,Marc Schölermann
7 dienos Entebeje,2018PG-131h 47m,Action,5.9,17K,José Padilha
57 keleivis,1992R1h 24m,Action,5.9,50K,Kevin Hooks
